dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
161,waveguide_smt_L1.0_LAM1160_Neff1.3_end.0-trans.2d_dat,1.0,1160,1.3,-7.65252225e-01
162,waveguide_smt_L1.0_LAM1160_Neff1.5_end.0-trans.2d_dat,1.0,1160,1.5,-1.82966395e+00
163,waveguide_smt_L1.0_LAM1160_Neff1.7_end.0-trans.2d_dat,1.0,1160,1.7,-2.90481473e+00
164,waveguide_smt_L1.0_LAM1160_Neff1.9_end.0-trans.2d_dat,1.0,1160,1.9,2.20568120e+00
165,waveguide_smt_L1.0_LAM1160_Neff2.1_end.0-trans.2d_dat,1.0,1160,2.1,1.25426857e+00
166,waveguide_smt_L1.0_LAM1160_Neff2.3_end.0-trans.2d_dat,1.0,1160,2.3,1.38808597e-01
167,waveguide_smt_L1.0_LAM1160_Neff2.5_end.0-trans.2d_dat,1.0,1160,2.5,-1.10724604e+00
168,waveguide_smt_L1.0_LAM1160_Neff2.7_end.0-trans.2d_dat,1.0,1160,2.7,-1.92560962e+00
169,waveguide_smt_L1.0_LAM1160_Neff2.9_end.0-trans.2d_dat,1.0,1160,2.9,-3.14159265e+00
170,waveguide_smt_L1.0_LAM1170_Neff1.1_end.0-trans.2d_dat,1.0,1170,1.1,3.75917070e-01
171,waveguide_smt_L1.0_LAM1170_Neff1.3_end.0-trans.2d_dat,1.0,1170,1.3,-7.04978793e-01
172,waveguide_smt_L1.0_LAM1170_Neff1.5_end.0-trans.2d_dat,1.0,1170,1.5,-1.76310111e+00
173,waveguide_smt_L1.0_LAM1170_Neff1.7_end.0-trans.2d_dat,1.0,1170,1.7,-2.81964657e+00
174,waveguide_smt_L1.0_LAM1170_Neff1.9_end.0-trans.2d_dat,1.0,1170,1.9,2.29185446e+00
175,waveguide_smt_L1.0_LAM1170_Neff2.1_end.0-trans.2d_dat,1.0,1170,2.1,1.33703562e+00
176,waveguide_smt_L1.0_LAM1170_Neff2.3_end.0-trans.2d_dat,1.0,1170,2.3,2.73254873e-01
177,waveguide_smt_L1.0_LAM1170_Neff2.5_end.0-trans.2d_dat,1.0,1170,2.5,-1.00453973e+00
178,waveguide_smt_L1.0_LAM1170_Neff2.7_end.0-trans.2d_dat,1.0,1170,2.7,-1.82986897e+00
179,waveguide_smt_L1.0_LAM1170_Neff2.9_end.0-trans.2d_dat,1.0,1170,2.9,-2.94067898e+00
180,waveguide_smt_L1.0_LAM1180_Neff1.1_end.0-trans.2d_dat,1.0,1180,1.1,4.25978665e-01
181,waveguide_smt_L1.0_LAM1180_Neff1.3_end.0-trans.2d_dat,1.0,1180,1.3,-6.45630019e-01
182,waveguide_smt_L1.0_LAM1180_Neff1.5_end.0-trans.2d_dat,1.0,1180,1.5,-1.69782648e+00
183,waveguide_smt_L1.0_LAM1180_Neff1.7_end.0-trans.2d_dat,1.0,1180,1.7,-2.73663793e+00
184,waveguide_smt_L1.0_LAM1180_Neff1.9_end.0-trans.2d_dat,1.0,1180,1.9,2.37868254e+00
185,waveguide_smt_L1.0_LAM1180_Neff2.1_end.0-trans.2d_dat,1.0,1180,2.1,1.41701689e+00
186,waveguide_smt_L1.0_LAM1180_Neff2.3_end.0-trans.2d_dat,1.0,1180,2.3,4.01838747e-01
187,waveguide_smt_L1.0_LAM1180_Neff2.5_end.0-trans.2d_dat,1.0,1180,2.5,-8.96888259e-01
188,waveguide_smt_L1.0_LAM1180_Neff2.7_end.0-trans.2d_dat,1.0,1180,2.7,-1.73989315e+00
189,waveguide_smt_L1.0_LAM1180_Neff2.9_end.0-trans.2d_dat,1.0,1180,2.9,-2.75146568e+00
190,waveguide_smt_L1.0_LAM1190_Neff1.1_end.0-trans.2d_dat,1.0,1190,1.1,4.75198889e-01
191,waveguide_smt_L1.0_LAM1190_Neff1.3_end.0-trans.2d_dat,1.0,1190,1.3,-5.87187317e-01
192,waveguide_smt_L1.0_LAM1190_Neff1.5_end.0-trans.2d_dat,1.0,1190,1.5,-1.63375241e+00
193,waveguide_smt_L1.0_LAM1190_Neff1.7_end.0-trans.2d_dat,1.0,1190,1.7,-2.65585198e+00
194,waveguide_smt_L1.0_LAM1190_Neff1.9_end.0-trans.2d_dat,1.0,1190,1.9,2.46616220e+00
195,waveguide_smt_L1.0_LAM1190_Neff2.1_end.0-trans.2d_dat,1.0,1190,2.1,1.49476770e+00
196,waveguide_smt_L1.0_LAM1190_Neff2.3_end.0-trans.2d_dat,1.0,1190,2.3,5.23606579e-01
197,waveguide_smt_L1.0_LAM1190_Neff2.5_end.0-trans.2d_dat,1.0,1190,2.5,-7.83615006e-01
198,waveguide_smt_L1.0_LAM1190_Neff2.7_end.0-trans.2d_dat,1.0,1190,2.7,-1.65401650e+00
199,waveguide_smt_L1.0_LAM1190_Neff2.9_end.0-trans.2d_dat,1.0,1190,2.9,-2.57911668e+00
200,waveguide_smt_L1.0_LAM1200_Neff1.1_end.0-trans.2d_dat,1.0,1200,1.1,5.23598776e-01
201,waveguide_smt_L1.0_LAM1200_Neff1.3_end.0-trans.2d_dat,1.0,1200,1.3,-5.29633723e-01
202,waveguide_smt_L1.0_LAM1200_Neff1.5_end.0-trans.2d_dat,1.0,1200,1.5,-1.57079633e+00
203,waveguide_smt_L1.0_LAM1200_Neff1.7_end.0-trans.2d_dat,1.0,1200,1.7,-2.57731540e+00
204,waveguide_smt_L1.0_LAM1200_Neff1.9_end.0-trans.2d_dat,1.0,1200,1.9,2.55422604e+00
205,waveguide_smt_L1.0_LAM1200_Neff2.1_end.0-trans.2d_dat,1.0,1200,2.1,1.57079633e+00
206,waveguide_smt_L1.0_LAM1200_Neff2.3_end.0-trans.2d_dat,1.0,1200,2.3,6.38139193e-01
207,waveguide_smt_L1.0_LAM1200_Neff2.5_end.0-trans.2d_dat,1.0,1200,2.5,-6.64348864e-01
208,waveguide_smt_L1.0_LAM1200_Neff2.7_end.0-trans.2d_dat,1.0,1200,2.7,-1.57079633e+00
209,waveguide_smt_L1.0_LAM1200_Neff2.9_end.0-trans.2d_dat,1.0,1200,2.9,-2.42528852e+00
210,waveguide_smt_L1.0_LAM1210_Neff1.1_end.0-trans.2d_dat,1.0,1210,1.1,5.71198664e-01
211,waveguide_smt_L1.0_LAM1210_Neff1.3_end.0-trans.2d_dat,1.0,1210,1.3,-4.72953654e-01
212,waveguide_smt_L1.0_LAM1210_Neff1.5_end.0-trans.2d_dat,1.0,1210,1.5,-1.50888111e+00
213,waveguide_smt_L1.0_LAM1210_Neff1.7_end.0-trans.2d_dat,1.0,1210,1.7,-2.50102185e+00
214,waveguide_smt_L1.0_LAM1210_Neff1.9_end.0-trans.2d_dat,1.0,1210,1.9,2.64274428e+00
215,waveguide_smt_L1.0_LAM1210_Neff2.1_end.0-trans.2d_dat,1.0,1210,2.1,1.64556602e+00
216,waveguide_smt_L1.0_LAM1210_Neff2.3_end.0-trans.2d_dat,1.0,1210,2.3,7.45460142e-01
217,waveguide_smt_L1.0_LAM1210_Neff2.5_end.0-trans.2d_dat,1.0,1210,2.5,-5.39149699e-01
218,waveguide_smt_L1.0_LAM1210_Neff2.7_end.0-trans.2d_dat,1.0,1210,2.7,-1.48895816e+00
219,waveguide_smt_L1.0_LAM1210_Neff2.9_end.0-trans.2d_dat,1.0,1210,2.9,-2.28908804e+00
220,waveguide_smt_L1.0_LAM1220_Neff1.1_end.0-trans.2d_dat,1.0,1220,1.1,6.18018227e-01
221,waveguide_smt_L1.0_LAM1220_Neff1.3_end.0-trans.2d_dat,1.0,1220,1.3,-4.17132687e-01
222,waveguide_smt_L1.0_LAM1220_Neff1.5_end.0-trans.2d_dat,1.0,1220,1.5,-1.44793530e+00
223,waveguide_smt_L1.0_LAM1220_Neff1.7_end.0-trans.2d_dat,1.0,1220,1.7,-2.42693650e+00
224,waveguide_smt_L1.0_LAM1220_Neff1.9_end.0-trans.2d_dat,1.0,1220,1.9,2.73152951e+00
